Lateral(mm),Vertical(mm),Raw(µm)
5.808183193,10,NaN
5.818027496,10,-292.3408183
5.827872276,10,-292.4756666
5.837716579,10,NaN
5.847560883,10,NaN
5.857405186,10,NaN
5.867249489,10,-292.5238668
5.877093792,10,-291.8077752
5.886938572,10,-292.4379423
5.896782875,10,NaN
5.906627178,10,NaN
5.916471481,10,NaN
5.926315784,10,NaN
5.936160088,10,NaN
5.946004868,10,NaN
5.955849171,10,NaN
5.965693474,10,NaN
5.975537777,10,NaN
5.98538208,10,NaN
5.995226383,10,NaN
6.005071163,10,NaN
6.014915466,10,NaN
6.024759769,10,NaN
6.034604073,10,NaN
6.044448376,10,NaN
6.054292679,10,NaN
6.064136982,10,NaN
6.073981762,10,NaN
6.083826065,10,NaN
6.093670368,10,NaN
6.103514671,10,NaN
6.113358974,10,NaN
6.123203278,10,NaN
6.133048058,10,NaN
6.142892361,10,NaN
6.152736664,10,NaN
6.162580967,10,NaN
6.17242527,10,NaN
6.182269573,10,NaN
6.192114353,10,NaN
6.201958656,10,NaN
6.211802959,10,NaN
6.221647263,10,NaN
6.231491566,10,NaN
6.241335869,10,NaN
6.251180172,10,NaN
6.261024952,10,NaN
6.270869255,10,NaN
6.280713558,10,NaN
6.290557861,10,NaN
6.300402164,10,-287.8861106
6.310246468,10,-288.076554
6.320091248,10,-288.1015249
6.329935551,10,-288.2492069
6.339779854,10,-288.0236917
6.349624157,10,-288.0418841
6.35946846,10,-288.0402229
6.369312763,10,-287.8605503
6.379157543,10,-287.8600412
6.389001846,10,-287.6371518
6.398846149,10,-287.7080456
6.408690453,10,-287.5539601
6.418534756,10,-287.7340078
6.428379059,10,NaN
6.438223362,10,NaN
6.448068142,10,NaN
6.457912445,10,-286.4241606
6.467756748,10,-286.1858117
6.477601051,10,-286.5071915
6.487445354,10,-286.8791026
6.497289658,10,NaN
6.507134438,10,NaN
6.516978741,10,-286.2254383
6.526823044,10,-286.0299579
6.536667347,10,-286.0595907
6.54651165,10,-286.0605017
6.556355953,10,-286.1199549
6.566200733,10,NaN
6.576045036,10,-286.1257422
6.585889339,10,-286.0461139
6.595733643,10,-286.0384244
6.605577946,10,-285.4256727
6.615422249,10,-285.1921197
6.625266552,10,-285.6926899
6.635111332,10,-285.4852599
6.644955635,10,NaN
6.654799938,10,NaN
6.664644241,10,NaN
6.674488544,10,-285.0420799
6.684332848,10,-285.3379798
6.694177628,10,-285.6149371
6.704021931,10,-284.4294354
6.713866234,10,-284.3131278
6.723710537,10,-284.2838968
6.73355484,10,-284.2447793
6.743399143,10,-284.105537
6.753243923,10,-284.0251318
6.763088226,10,-283.9730733
6.772932529,10,NaN
6.782776833,10,NaN
6.792621136,10,-285.2150008
6.802465439,10,NaN
6.812309742,10,NaN
6.822154522,10,-284.210672
6.831998825,10,NaN
6.841843128,10,NaN
6.851687431,10,-283.5435845
6.861531734,10,-283.6112631
6.871376038,10,-283.5598745
6.881220818,10,-283.3437636
6.891065121,10,-283.4831131
6.900909424,10,-283.7268741
6.910753727,10,NaN
6.92059803,10,-283.6470851
6.930442333,10,-282.4145888
6.940287113,10,NaN
6.950131416,10,NaN
6.959975719,10,-282.322475
6.969820023,10,-282.1779546
6.979664326,10,-282.4262704
6.989508629,10,-282.4206975
6.999352932,10,NaN
7.009197712,10,NaN
7.019042015,10,NaN
7.028886318,10,-282.0537967
7.038730621,10,NaN
7.048574924,10,-281.3638281
7.058419228,10,-281.5770453
7.068264008,10,-281.7370788
7.078108311,10,-281.8708017
7.087952614,10,-281.5222272
7.097796917,10,NaN
7.10764122,10,-281.8182074
7.117485523,10,NaN
7.127330303,10,NaN
7.137174606,10,NaN
7.147018909,10,-280.9322762
7.156863213,10,-280.3448437
7.166707516,10,-280.3593118
7.176551819,10,-280.202413
7.186396122,10,NaN
7.196240902,10,NaN
7.206085205,10,NaN
7.215929508,10,NaN
7.225773811,10,-279.4524553
7.235618114,10,-279.5236706
7.245462418,10,-279.767512
7.255307198,10,-280.0499083
7.265151501,10,-279.8522845
7.274995804,10,-279.6873479
